"ID";"ANYO_PROCESO";"COD_CARRERA";"COD_UNIVERSIDAD";"MODESTUDIOS1";"EXPERIENCIAPREVIA1";"EXPERIENCIAPREVIA4_1";"EXPERIENCIAPREVIA4_2";"EXPERIENCIAPREVIA4_3";"EXPERIENCIAPREVIA4_4";"EXPERIENCIAPREVIA4_5";"EXPERIENCIAPREVIA2";"EXPERIENCIAPREVIA3";"PRIMERA_GENERACION1";"PRIMERA_GENERACION2";"EXPERIENCIAPREVIA5_1";"EXPERIENCIAPREVIA5_2";"EXPERIENCIAPREVIA5_3";"EXPERIENCIAPREVIA5_4";"EXPERIENCIAPREVIA5_5";"EXPERIENCIAPREVIA5_6";"EXPERIENCIAPREVIA5_7";"EXPERIENCIAPREVIA5_8";"EXPERIENCIAPREVIA5_9";"EXPERIENCIAPREVIA5_10";"CCEA3_1";"CCEA3_2";"CCEA3_3";"CCEA3_4";"CCEA3_5";"CCEA3_6";"CCEA12_1";"CCEA12_2";"CCEA12_3";"CCEA12_4";"CCEA12_5";"CCEA12_6";"CCEA12_7";"CCEA12_8";"CCEA12_9";"CCEA12_10";"CCEA12_11";"CCEA8_1";"CCEA8_2";"CCEA8_3";"CCEA8_4";"CCEA8_5";"CCEA8_6";"CCEA9";"CCEA10";"CCEA6_1";"CCEA6_2";"CCEA6_3";"CCEA6_4";"CCEA6_5";"CCEA7_1_1";"CCEA7_1_3";"CCEA7_2"
"K5948901253";2025;55092;"55";4;4;0;1;0;0;0;1;6;0;1;2;2;2;2;2;3;2;3;3;2;3;3;3;3;2;2;2;2;2;2;2;3;3;2;2;3;2;1;1;0;1;0;0;3;4;3;3;3;3;3;2;1;3
"K5555111251";2025;13022;"13";2;4;0;1;0;0;0;3;6;1;0;0;0;0;2;0;2;0;2;0;3;3;3;0;3;0;0;3;2;0;0;2;0;0;0;3;3;2;1;0;0;0;0;0;4;5;3;3;3;3;3;1;0;1
"K4259701254";2025;18096;"18";1;5;9;9;9;9;9;0;0;1;0;2;2;2;1;2;3;1;3;3;3;2;2;1;2;2;1;3;3;2;2;2;2;2;2;2;3;3;1;0;1;1;0;0;2;2;3;2;2;3;3;1;3;3
"K7661021260";2025;23016;"23";1;4;0;0;0;0;1;2;6;0;2;3;0;0;2;3;2;0;2;2;0;3;3;3;2;0;0;0;3;0;3;3;0;0;0;0;0;0;0;0;0;0;0;1;3;2;3;2;0;2;0;2;0;3
"K6561061256";2025;11022;"11";1;4;0;1;0;0;0;1;6;1;0;2;1;3;3;2;1;1;1;1;3;3;2;2;2;2;1;2;1;3;1;1;1;3;2;3;3;1;0;0;0;0;0;1;3;4;3;3;3;2;1;1;4;3
"K0764621254";2025;20096;"20";5;4;0;1;0;0;0;2;6;0;2;3;2;3;3;3;3;2;3;3;2;3;3;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;1;1;1;1;0;0;2;4;3;1;3;3;3;1;2;2
"K0666491260";2025;45036;"45";1;4;0;1;0;0;0;2;6;1;0;0;0;0;3;0;3;0;2;0;2;3;2;2;2;1;0;3;2;2;3;3;2;2;0;0;0;2;1;1;0;0;0;0;3;4;3;3;3;3;3;2;0;2
"K8666601260";2025;55006;"55";1;4;0;1;0;0;0;1;6;1;0;2;1;3;3;3;1;1;2;3;3;2;3;2;3;1;1;2;2;1;3;1;3;1;3;3;2;3;0;0;0;0;1;0;3;4;2;3;1;3;3;1;1;4
"K7468751259";2025;56324;"56";1;5;9;9;9;9;9;0;0;1;0;2;2;2;3;3;3;2;2;3;1;2;3;3;2;1;1;3;3;2;3;3;3;3;3;3;3;3;1;1;0;0;0;0;2;3;3;3;3;3;3;1;4;2
"K0775671256";2025;12018;"12";5;5;9;9;9;9;9;0;0;1;0;1;2;2;2;3;3;2;2;2;3;3;3;3;2;2;1;3;3;2;3;3;3;3;3;3;3;2;1;0;1;0;0;0;2;2;3;1;1;2;1;1;4;1
"K8584531254";2025;26071;"26";1;4;0;1;0;0;0;2;6;1;0;2;1;2;2;2;2;2;2;2;2;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;1;0;0;0;0;0;4;5;3;3;3;3;3;1;2;3
"K8686331260";2025;47491;"47";5;5;9;9;9;9;9;0;0;1;0;2;2;2;2;3;3;1;3;3;3;2;2;2;1;1;1;3;3;2;3;3;2;3;2;1;2;2;1;0;0;0;0;0;3;2;3;2;2;2;2;1;1;3
"K8986351255";2025;56518;"56";5;5;9;9;9;9;9;0;0;1;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;0;0;0;0;1;1;3;0;1;3;3;1;4;3
"K5989811255";2025;11065;"11";2;4;0;0;0;1;0;4;0;1;0;0;0;0;2;0;2;0;2;3;0;3;3;2;2;0;1;3;0;3;3;3;2;0;0;0;0;1;1;1;0;0;0;0;2;3;3;0;3;3;0;1;0;2
"K4592501260";2025;39129;"39";2;4;0;0;0;0;1;2;6;1;0;0;0;0;2;0;3;0;2;0;0;3;2;0;2;0;0;3;3;2;3;3;2;0;3;3;0;2;0;0;1;0;0;0;2;3;3;3;0;3;3;1;4;2
"K2200981351";2025;23016;"23";2;4;0;0;0;0;1;2;4;1;0;2;1;1;1;2;2;1;2;3;2;3;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;1;0;0;0;0;0;4;5;3;3;3;3;3;1;4;2
"K9604871354";2025;49305;"49";1;4;0;0;1;0;0;2;6;1;0;0;0;0;3;0;2;0;3;0;0;3;3;2;2;0;0;3;3;0;2;0;2;0;2;0;0;2;0;0;0;0;0;1;3;4;3;3;3;3;2;2;2;3
"K8308561354";2025;49109;"49";5;5;9;9;9;9;9;0;0;1;0;2;1;1;3;3;3;2;3;3;3;3;3;2;3;3;2;3;3;2;3;3;2;3;3;3;3;3;1;0;1;1;0;0;3;3;3;2;2;3;2;1;1;1
"K8316371354";2025;32150;"32";2;4;0;0;0;1;0;4;0;1;0;1;1;1;3;3;3;1;2;1;1;2;2;2;2;2;1;3;3;1;3;2;3;3;3;3;3;2;1;0;0;0;0;0;3;4;3;3;3;3;3;1;4;2
"K5324941358";2025;49317;"49";2;4;0;1;0;1;1;2;6;1;0;0;2;2;3;3;3;0;3;3;3;3;3;3;3;2;2;3;3;3;3;3;0;3;2;3;3;3;1;1;1;0;0;0;3;4;3;2;3;3;3;1;0;3
"K3926491360";2025;41015;"41";4;2;1;0;0;0;0;4;0;1;0;3;2;2;2;2;1;1;1;1;2;3;2;1;1;1;1;3;1;2;3;3;3;3;3;3;2;1;1;0;0;0;0;0;2;4;3;3;3;3;3;1;4;2
"K2626821358";2025;51111;"51";5;4;1;0;0;0;1;4;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;1;2;2;2;2;1;0;0;0;0;0;1;4;1;1;2;1;3;1;4;1
"K6129741357";2025;21033;"21";1;4;0;1;0;0;0;1;6;1;0;1;1;2;3;3;3;1;3;1;3;3;3;3;3;1;2;2;3;2;1;1;1;3;3;2;3;2;1;1;0;1;0;0;2;4;2;3;3;3;3;1;4;4
"K4330771353";2025;55092;"55";1;4;0;1;0;0;1;2;6;0;1;3;0;0;0;0;0;0;1;0;2;2;3;0;0;0;0;2;0;0;3;3;0;2;0;0;2;0;0;1;1;0;0;0;3;2;3;2;3;3;2;1;3;2
"K5933241360";2025;55111;"55";5;5;9;9;9;9;9;0;0;1;0;3;0;3;2;1;0;0;0;0;0;3;3;2;2;2;0;3;3;3;3;0;3;3;3;3;0;3;1;1;1;1;0;0;2;4;3;2;0;2;0;1;4;3
"K2336671358";2025;55084;"55";5;5;9;9;9;9;9;0;0;1;0;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;3;2;2;3;2;2;3;2;2;2;2;1;1;1;0;0;0;3;4;3;2;2;3;2;1;1;1
"K0241831352";2025;55114;"55";5;5;9;9;9;9;9;0;0;0;1;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;1;3;3;3;3;3;1;1;1;0;0;0;4;5;3;3;3;3;3;1;4;4
"K3842891355";2025;45004;"45";2;4;0;0;0;0;1;2;6;1;0;2;1;1;2;1;2;1;2;2;2;2;2;2;1;1;1;2;2;1;3;2;2;1;2;2;1;2;1;0;0;0;0;0;2;2;2;1;2;2;2;1;2;3
"K0243101352";2025;19031;"19";5;1;1;0;0;0;0;4;0;0;2;2;0;0;3;2;2;0;2;3;2;3;2;2;2;2;0;0;2;2;3;3;1;2;3;3;2;2;1;1;0;0;0;0;3;4;3;3;2;3;3;1;4;2
"K3844631353";2025;19022;"19";5;4;0;1;1;1;0;2;6;1;0;1;1;1;3;3;2;2;2;2;3;2;2;2;2;3;0;2;2;0;2;2;0;3;3;3;3;3;1;1;1;1;0;0;4;4;3;0;3;2;2;1;0;2
"K6245731350";2025;21047;"21";1;4;0;0;0;1;0;1;6;0;2;3;3;3;1;2;2;2;2;2;2;3;2;2;0;2;2;3;3;3;3;3;3;3;3;3;2;2;1;1;0;0;0;0;3;3;3;3;2;2;2;2;1;3
"K0645871354";2025;20086;"20";1;4;0;1;0;0;0;2;6;1;0;2;0;0;3;0;3;0;0;3;0;3;3;2;2;0;0;3;2;2;3;3;2;2;2;3;3;2;1;0;0;0;0;0;3;3;3;2;3;3;2;1;4;3
"K5650661350";2025;13037;"13";1;4;0;0;0;1;0;4;0;0;2;2;0;3;3;2;2;1;2;1;0;2;3;2;2;0;0;3;3;2;3;3;3;0;3;2;0;3;1;1;0;0;0;0;4;4;3;3;3;3;2;1;0;1
"K0759641354";2025;32130;"32";1;4;0;1;1;1;0;2;6;1;0;2;1;0;2;2;3;1;3;1;0;3;3;3;3;0;0;3;2;0;3;3;3;2;3;0;0;2;1;1;1;0;0;0;2;3;3;3;3;3;3;1;0;3
"K9860341352";2025;47004;"47";1;4;0;1;0;0;0;4;0;0;1;2;0;0;2;2;0;0;2;0;0;2;2;2;2;2;0;0;3;0;0;0;3;0;0;0;0;0;1;1;1;0;0;0;3;2;3;3;0;3;0;1;0;4
"K3763671353";2025;22021;"22";2;4;0;1;0;0;0;2;6;1;0;1;1;3;3;3;2;1;3;3;3;3;3;3;3;1;2;3;3;3;3;3;2;3;3;3;3;3;1;1;0;0;0;0;3;3;3;3;3;3;3;1;2;3
"K8063811359";2025;22023;"22";1;4;0;1;0;0;0;1;6;0;1;0;2;2;3;3;3;3;3;2;2;3;3;3;3;0;1;3;2;3;3;3;2;2;3;2;2;2;1;1;1;0;0;0;3;3;3;3;3;3;3;1;4;2
"K2264171351";2025;22004;"22";6;5;9;9;9;9;9;0;0;1;0;3;0;0;0;0;3;0;2;3;0;3;2;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2;3;0;0;0;0;2;0;1
"K9068221351";2025;16110;"16";1;4;0;0;1;0;0;1;2;0;1;1;1;1;1;1;2;3;1;1;3;3;3;2;1;2;1;3;2;2;3;2;2;2;3;3;3;2;0;1;0;0;0;0;2;4;3;3;3;3;3;1;1;2
"K8570691352";2025;40030;"40";1;4;0;1;0;0;0;1;6;1;0;3;2;1;3;3;3;1;3;3;2;3;3;3;3;1;1;3;2;3;3;3;2;2;3;3;3;3;1;1;1;0;0;0;3;4;3;3;3;3;3;1;4;1
"K2070891351";2025;52090;"52";5;5;9;9;9;9;9;0;0;1;0;0;0;0;2;3;3;0;3;2;2;2;3;2;3;2;0;3;2;2;3;2;2;2;2;2;2;3;1;1;0;0;0;0;3;4;3;2;2;3;3;1;4;2
"K0973271350";2025;19084;"19";1;4;0;1;0;0;0;1;6;1;0;2;1;2;3;3;2;2;3;2;3;3;3;3;3;1;1;1;2;3;3;3;1;2;3;3;3;2;1;0;0;0;0;0;3;4;3;3;3;3;3;1;4;2
"K0677791357";2025;47151;"47";5;5;9;9;9;9;9;0;0;0;1;2;2;1;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;0;0;0;2;4;3;3;3;3;3;1;4;2
"K0485241360";2025;55011;"55";2;4;1;0;0;0;0;4;0;0;1;3;2;3;3;3;2;3;3;3;2;3;3;2;2;3;3;3;2;3;3;3;2;3;3;3;3;3;0;0;1;0;0;0;3;5;3;3;3;3;3;1;4;2
"K3085971357";2025;11061;"11";1;4;0;0;0;1;1;4;0;0;2;3;2;0;2;2;1;0;2;3;0;3;3;3;2;2;0;3;0;2;3;3;3;2;2;1;3;2;0;0;0;0;1;0;3;4;3;1;3;2;1;1;2;3
"K5189551359";2025;53101;"53";5;5;9;9;9;9;9;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;3;4;2;0;0;0;0;1;0;3
"K1689921359";2025;52100;"52";1;4;0;1;0;0;0;1;6;1;0;2;0;0;2;2;2;0;2;0;2;2;2;0;0;0;0;0;2;2;0;2;0;2;0;0;2;2;0;0;0;0;0;1;3;3;3;3;3;3;3;1;0;4
"K8491901353";2025;55064;"55";1;4;0;0;0;1;0;4;0;0;2;2;1;1;3;3;2;1;2;2;3;2;2;2;2;1;1;3;2;2;3;3;2;3;3;3;3;2;0;0;0;0;1;0;4;5;3;3;3;3;2;1;4;1
"K2091901360";2025;49104;"49";1;4;0;1;0;0;0;4;0;1;0;0;0;3;2;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;2;0;0;3;3;0;0;0;1;0;0;0;0;0;3;2;0;0;0;3;3;2;0;3
