"ID";"ANYO_PROCESO";"COD_CARRERA";"COD_UNIVERSIDAD";"AUTOEFICACIA";"MOT_APRENDIZAJE";"MOT_DESEMPENO";"AUTORREGULACION"
"L6669431551";2025;18054;18;"3";"3";"1";"2"
"L9469461557";2025;22067;22;"3";"3";"1";"2"
"L4569481560";2025;22021;22;"3";"3";"2";"3"
"L9470231559";2025;20050;20;"1";"1";"1";"1"
"L6870831558";2025;15303;15;"3";"3";"2";"3"
"L2972441551";2025;47431;47;"3";"2";"1";"2"
"L0778721551";2025;26007;26;"";"3";"3";"2"
"L3679291560";2025;55115;55;"3";"2";"1";"2"
"L2879661555";2025;49108;49;"2";"3";"2";"2"
"L0079781560";2025;55009;55;"1";"2";"1";"2"
"L4980371552";2025;12025;12;"2";"1";"1";"1"
"L5382861557";2025;19030;19;"3";"2";"2";"3"
"L4289451556";2025;32012;32;"1";"2";"2";"1"
"L2790021555";2025;56211;56;"2";"3";"1";"3"
"L5091841555";2025;21056;21;"2";"3";"3";"3"
"L2993321559";2025;20050;20;"3";"3";"3";"3"
"L7794121555";2025;40073;40;"2";"3";"2";"3"
"L8594181551";2025;55006;55;"3";"2";"2";"2"
"L4996291554";2025;52504;52;"1";"2";"1";"2"
"L4696621559";2025;51130;51;"2";"3";"2";"2"
"L2597381562";2025;26084;26;"1";"2";"2";"2"
"L0398061552";2025;22020;22;"2";"3";"2";"3"
"L9301871657";2025;55041;55;"3";"2";"2";"2"
"L2501911659";2025;13072;13;"1";"2";"1";"2"
"L6602201654";2025;41164;41;"1";"3";"1";"2"
"L4702221658";2025;29066;29;"1";"2";"2";"3"
"L8203071657";2025;21048;21;"3";"2";"2";"2"
"L9205691655";2025;55075;55;"1";"2";"1";"2"
"L9607661657";2025;41059;41;"3";"";"";""
"L0511471659";2025;55052;55;"1";"3";"2";"2"
"L7711541662";2025;39120;39;"1";"2";"2";"2"
"L6912201656";2025;35078;35;"2";"3";"2";"3"
"L6512621654";2025;56324;56;"3";"3";"3";"3"
"L2715441659";2025;15562;15;"2";"2";"1";"1"
"L8715651653";2025;55074;55;"3";"3";"1";"2"
"L9318761653";2025;20076;20;"3";"2";"1";"2"
"L5919161651";2025;45017;45;"3";"3";"2";"2"
"L9719401658";2025;21089;21;"2";"2";"2";"1"
"L9520161657";2025;56424;56;"3";"3";"2";"3"
"L7322031656";2025;13025;13;"3";"2";"2";"3"
"L9123571653";2025;51152;51;"3";"1";"2";"2"
"L6928231653";2025;13060;13;"3";"3";"1";"1"
"L4430431652";2025;25071;25;"1";"1";"1";"1"
"L2230761655";2025;18096;18;"2";"3";"2";"2"
"L2632361652";2025;41044;41;"2";"1";"1";"1"
"L4132971656";2025;55056;55;"3";"3";"1";"3"
"L3533721652";2025;35007;35;"3";"2";"1";"2"
"L3134331662";2025;55115;55;"3";"2";"2";"2"
"L6734711652";2025;40040;40;"3";"3";"3";"3"
"L3635581654";2025;32162;32;"2";"2";"1";"1"
"L9435881653";2025;47201;47;"1";"2";"2";"1"
"L6236771656";2025;11001;11;"3";"3";"1";"2"
"L8638581654";2025;11523;11;"2";"2";"2";"1"
"L6741901658";2025;50233;50;"3";"2";"1";"2"
"L7142411659";2025;19045;19;"2";"1";"1";"1"
"L8643901655";2025;14090;14;"2";"3";"1";"2"
"L3144321651";2025;55016;55;"2";"2";"1";"2"
"L7244431659";2025;55064;55;"2";"1";"1";"1"
"L0446331653";2025;16050;16;"2";"2";"3";"2"
"L8147181658";2025;50833;50;"3";"3";"2";"2"
"L7648511655";2025;26082;26;"2";"1";"1";"2"
"L5448611658";2025;29054;29;"2";"2";"1";"3"
"L9250121654";2025;56518;56;"2";"3";"2";"2"
"L0850241653";2025;55024;55;"3";"3";"3";"3"
"L9950301658";2025;14032;14;"1";"2";"2";"2"
"L3650751658";2025;26084;26;"2";"2";"1";"3"
"L0751301656";2025;29033;29;"1";"2";"2";"2"
"L1851571657";2025;29068;29;"3";"1";"2";"1"
"L0853201654";2025;13046;13;"2";"2";"1";"2"
"L4154171652";2025;34003;34;"1";"2";"1";"1"
"L1555251651";2025;26008;26;"1";"2";"1";"2"
"L8656011658";2025;51282;51;"1";"2";"1";"2"
"L0057291655";2025;45016;45;"3";"3";"2";"2"
"L2659761658";2025;50502;50;"2";"";"2";"1"
"L5360751654";2025;45008;45;"3";"2";"1";"1"
"L3460761654";2025;46104;46;"3";"3";"3";"3"
"L5760841652";2025;20024;20;"3";"2";"1";"2"
"L3561851655";2025;14091;14;"2";"3";"1";"2"
"L7662861654";2025;41204;41;"1";"2";"2";"3"
"L8263181653";2025;37047;37;"3";"3";"1";"2"
"L2363671651";2025;16097;16;"2";"1";"1";"1"
"L6663751651";2025;39110;39;"2";"2";"1";"3"
"L3064981654";2025;13052;13;"3";"3";"2";"3"
"L5966571653";2025;20050;20;"2";"2";"1";"3"
"L7067021660";2025;49013;49;"2";"3";"1";"2"
"L2068271655";2025;11062;11;"1";"2";"2";"1"
"L9668421657";2025;55029;55;"2";"2";"2";"2"
"L7668541656";2025;55056;55;"2";"3";"1";"1"
"L7770021653";2025;34022;34;"3";"2";"1";"3"
"L1670211662";2025;14067;14;"1";"2";"1";"2"
"L7570411659";2025;25031;25;"2";"3";"2";"2"
"L3770591658";2025;18202;18;"2";"2";"2";"2"
"L0171281653";2025;47005;47;"1";"2";"2";"2"
"L8772331659";2025;50921;50;"1";"3";"1";"3"
"L9272881662";2025;14081;14;"3";"3";"3";"3"
"L0973821662";2025;29027;29;"1";"1";"1";"2"
"L6674351652";2025;50919;50;"1";"2";"2";"2"
"L4075171660";2025;12025;12;"3";"3";"1";"2"
"L9676261653";2025;13032;13;"2";"3";"1";"3"
"L8976431659";2025;55117;55;"1";"3";"1";"1"
"L6977011656";2025;50919;50;"2";"2";"2";"2"
"L2277101654";2025;22059;22;"1";"2";"2";"1"
"L9677301651";2025;55031;55;"2";"1";"2";"2"
"L2578141652";2025;32026;32;"2";"2";"2";"2"
"L7778581651";2025;45004;45;"1";"2";"1";"1"
"L1578781658";2025;56416;56;"2";"3";"1";"2"
"L3879241653";2025;47006;47;"3";"1";"1";"2"
"L5079301658";2025;34086;34;"2";"1";"2";"1"
"L5681351660";2025;14091;14;"2";"2";"2";"2"
"L2781401657";2025;19030;19;"3";"3";"3";"2"
"L2582441656";2025;52588;52;"1";"1";"1";"1"
"L0382921662";2025;39413;39;"3";"3";"1";"3"
"L4483661659";2025;47005;47;"1";"1";"1";"2"
"L8388311656";2025;47401;47;"2";"3";"2";"2"
"L9388741658";2025;41213;41;"";"";"1";"1"
"L6989051655";2025;56510;56;"2";"2";"2";"2"
"L7289151655";2025;41091;41;"2";"3";"2";"3"
"L2790941655";2025;56310;56;"2";"2";"1";"2"
"L2891021653";2025;11021;11;"1";"3";"1";"2"
"L6691621659";2025;25044;25;"2";"3";"2";"2"
"L4791851655";2025;49225;49;"2";"2";"1";"3"
"L8893101659";2025;36053;36;"3";"3";"2";"2"
"L4193321657";2025;45004;45;"2";"1";"2";"1"
"L6393881658";2025;20007;20;"2";"3";"1";"1"
"L5594091659";2025;15384;15;"3";"3";"3";"1"
"L9694101656";2025;11028;11;"2";"2";"1";"2"
"L6094131658";2025;19045;19;"1";"2";"";"2"
"L8394181652";2025;45025;45;"2";"2";"1";"3"
"L8395351653";2025;20007;20;"3";"3";"1";"3"
"L4895501657";2025;45008;45;"3";"3";"1";"3"
"L5195581654";2025;19043;19;"2";"2";"2";"2"
"L1695761652";2025;11523;11;"3";"2";"2";"1"
"L7896861651";2025;14001;14;"1";"1";"1";"1"
"L0498241655";2025;56226;56;"3";"3";"2";"3"
"L5598691653";2025;51130;51;"3";"3";"3";"3"
"L7498791651";2025;13057;13;"2";"2";"2";"2"
"L8399601658";2025;11011;11;"3";"3";"1";"2"
"L9300941754";2025;17837;17;"2";"2";"1";"2"
"L6002451755";2025;56524;56;"1";"1";"1";"2"
"L4102771760";2025;55065;55;"3";"3";"1";"3"
"L0903211755";2025;52090;52;"1";"1";"1";"1"
"L4704181755";2025;13054;13;"1";"2";"2";"1"
"L0204421760";2025;13040;13;"2";"3";"2";"2"
"L0904631760";2025;50131;50;"1";"2";"1";"2"
"L8904811751";2025;46104;46;"2";"2";"1";"2"
"L4906361754";2025;56316;56;"3";"2";"1";"3"
"L9506671758";2025;36021;36;"1";"3";"2";"3"
"L2208051760";2025;49101;49;"2";"2";"2";"2"
"L7609241759";2025;55084;55;"1";"2";"2";"2"
"L1610761756";2025;47003;47;"2";"2";"2";"2"
"L7411831757";2025;12038;12;"1";"2";"2";"2"
"L4312781752";2025;16047;16;"3";"2";"1";"1"
"L9013251751";2025;18068;18;"3";"3";"1";"3"
"L1714251757";2025;41068;41;"1";"2";"1";"1"
"L9715371760";2025;17843;17;"1";"2";"2";"2"
"L3015641755";2025;12089;12;"2";"3";"3";"1"
"L7416251759";2025;19015;19;"1";"3";"2";"2"
"L9316291760";2025;41097;41;"";"";"";"1"
"L7516351762";2025;55050;55;"1";"2";"1";"2"
"L7216631754";2025;47007;47;"3";"";"2";"1"
"L3017051751";2025;35060;35;"2";"3";"3";"1"
"L1318861751";2025;16055;16;"2";"2";"1";"2"
"L6819591753";2025;55038;55;"1";"2";"1";"2"
"L5919781760";2025;50528;50;"2";"1";"2";"1"
"L5319791758";2025;32043;32;"2";"";"";"2"
"L1019981756";2025;55050;55;"1";"2";"2";"2"
"L9320111760";2025;50529;50;"2";"2";"2";"2"
"L0722511759";2025;56424;56;"2";"2";"1";"2"
"L5122861756";2025;18041;18;"1";"2";"2";"2"
"L0622871751";2025;53101;53;"3";"3";"3";"3"
"L7824881752";2025;11078;11;"1";"2";"2";"2"
"L9125181754";2025;21071;21;"2";"2";"1";"2"
"L4325271760";2025;12097;12;"2";"2";"1";"3"
"L3025371759";2025;49105;49;"2";"2";"1";"1"
"L6225421757";2025;38326;38;"1";"3";"1";"3"
"L0325451754";2025;55062;55;"2";"3";"2";"2"
"L3625981762";2025;37048;37;"";"";"";"1"
"L8927971754";2025;11016;11;"1";"2";"1";"2"
"L6728331751";2025;51150;51;"3";"3";"1";"3"
"L2828351753";2025;11020;11;"2";"2";"1";"2"
"L6530451760";2025;11065;11;"3";"2";"2";"2"
"L9931641756";2025;12060;12;"";"";"";"2"
"L1531731762";2025;12028;12;"3";"2";"2";"2"
"L0931781754";2025;55062;55;"3";"2";"1";"1"
"L6631951757";2025;30044;30;"3";"3";"1";"2"
"L3232021758";2025;50928;50;"1";"1";"1";"1"
"L2232031755";2025;36057;36;"2";"2";"1";"3"
"L5832841755";2025;29072;29;"2";"2";"2";"2"
"L3434251762";2025;20007;20;"2";"3";"3";"3"
"L8134771753";2025;16050;16;"3";"2";"1";"1"
"L5235341753";2025;19091;19;"1";"1";"1";"1"
"L5035881757";2025;17821;17;"2";"3";"1";"2"
"L3236601760";2025;30026;30;"2";"1";"2";"3"
"L5437001752";2025;55121;55;"3";"3";"3";"2"
"L2938271755";2025;39117;39;"1";"2";"3";"1"
"L8139061755";2025;20007;20;"3";"2";"1";"2"
"L4839131758";2025;46401;46;"2";"3";"2";"2"
"L6839531759";2025;12005;12;"1";"2";"1";"2"
"L7039551752";2025;29021;29;"3";"3";"1";"3"
"L2340831762";2025;12011;12;"3";"2";"2";"1"
"L7141361759";2025;50810;50;"2";"2";"1";"1"
"L1641391757";2025;16052;16;"3";"2";"1";"2"
